iso_code,continent,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,population
ARG,South America,Argentina,9/12/2021,46894772,28706802,18188230,45605823
ARM,Asia,Armenia,9/12/2021,335721,215278,120443,2968128
ABW,North America,Aruba,9/12/2021,153187,80343,72844,107195
AUS,Oceania,Australia,9/12/2021,22669372,14011105,8658267,25788217
AUT,Europe,Austria,9/12/2021,10625537,5605071,5299735,9043072
AZE,Asia,Azerbaijan,9/12/2021,7609940,4507038,3102902,10223344
BHR,Asia,Bahrain,9/12/2021,2522055,1156523,1097982,1748295
BGD,Asia,Bangladesh,9/12/2021,34288574,20656175,13632399,166303494
BGR,Europe,Bulgaria,9/12/2021,2407986,,1236422,6896655
KHM,Asia,Cambodia,9/12/2021,20765456,11448429,9519440,16946446
CAN,North America,Canada,9/12/2021,54399583,28363525,26036058,38067913
CHN,Asia,China,9/12/2021,2148120000,,,1444216102
CZE,Europe,Czechia,9/12/2021,11633190,6006381,5841829,10724553
EST,Europe,Estonia,9/12/2021,1310615,740875,569740,1325188
FIN,Europe,Finland,9/12/2021,7218980,4079776,3139204,5548361
DEU,Europe,Germany,9/12/2021,104230296,55315227,51710807,83900471
GRC,Europe,Greece,9/12/2021,11697197,6259984,5845265,10370747
HKG,Asia,Hong Kong,9/12/2021,8151848,4340347,3811501,7552800
IND,Asia,India,9/12/2021,740278136,563337272,176940864,1393409033
IDN,Asia,Indonesia,9/12/2021,114500929,72766195,41734734,276361788
ISR,Asia,Israel,9/12/2021,14461156,6043382,5547653,8789776
ITA,Europe,Italy,9/12/2021,80902858,43774181,38584317,60367471
JPN,Asia,Japan,9/12/2021,144312589,79835876,64476713,126050796
JOR,Asia,Jordan,9/12/2021,6669093,3577708,3091385,10269022
KAZ,Asia,Kazakhstan,9/12/2021,12966142,7072523,5893619,18994958
KEN,Africa,Kenya,9/12/2021,3090932,2262968,827964,54985702
OWID_KOS,Europe,Kosovo,9/12/2021,1033952,676755,357197,1932774
KGZ,Asia,Kyrgyzstan,9/12/2021,1263794,737643,522417,6628347
LVA,Europe,Latvia,9/12/2021,1556621,880018,788431,1866934
LBN,Asia,Lebanon,9/12/2021,2607904,1447211,1160693,6769151
LTU,Europe,Lithuania,9/12/2021,3267836,1699824,1568012,2689862
MWI,Africa,Malawi,9/12/2021,941059,713014,452402,19647681
MYS,Asia,Malaysia,9/12/2021,38488051,21377353,17177911,32776195
MDA,Europe,Moldova,9/12/2021,1331757,,730070,4024025
MNE,Europe,Montenegro,9/12/2021,417419,221080,196339,628051
NPL,Asia,Nepal,9/12/2021,10940301,5773612,5166689,29674920
NLD,Europe,Netherlands,9/12/2021,22102538,12030970,10864413,17173094
NZL,Oceania,New Zealand,9/12/2021,4325490,2862765,1462725,4860642
PAK,Asia,Pakistan,9/12/2021,68227337,51390802,21962455,225199929
PAN,North America,Panama,9/12/2021,4905120,2862765,2042355,4381583
PHL,Asia,Philippines,9/12/2021,38746501,,16794545,111046910
PRT,Europe,Portugal,9/12/2021,15442210,8825392,8213420,10167923
RUS,Europe,Russia,9/12/2021,85282445,45598793,39683652,145912022
SAU,Asia,Saudi Arabia,9/12/2021,39606175,22784983,16821192,35340680
SVN,Europe,Slovenia,9/12/2021,1961385,1025591,935794,2078723
ZAF,Africa,South Africa,9/12/2021,14690586,10720370,7199405,60041996
KOR,Asia,South Korea,9/12/2021,51877739,33152722,20061878,51305184
LKA,Asia,Sri Lanka,9/12/2021,24002848,13458620,10544228,21497306
SUR,South America,Suriname,9/12/2021,366805,212346,154459,591798
TWN,Asia,Taiwan,9/12/2021,12463192,11416544,1046648,23855008
THA,Asia,Thailand,9/12/2021,40060467,27194487,12251011,69950844
TTO,North America,Trinidad and Tobago,9/12/2021,986142,544602,441540,1403374
TUN,Africa,Tunisia,9/12/2021,6823657,4536120,2995622,11935764
TUR,Asia,Turkey,9/12/2021,101748658,51536013,40305712,85042736
UKR,Europe,Ukraine,9/12/2021,10710944,5906740,4804204,43466822
ARE,Asia,United Arab Emirates,9/12/2021,18942543,8931243,7823492,9991083
USA,North America,United States,9/12/2021,380241903,209437152,178692875,332915074
URY,South America,Uruguay,9/12/2021,5918663,2706539,2537561,3485152
